analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
MIR_GRP,ACR CERV,121,0,2024,0,,0,0,Disease_all
MIR_GRP,ACR PALM,121,,2024,0,,,,Disease_all
MIR_GRP,AGA AGAR,121,0,2024,0,,0,0,Disease_all
MIR_GRP,COL NATA,121,0,2024,0,,0,0,Disease_all
MIR_GRP,DIC STOK,121,0,2024,0,,0,0,Disease_all
MIR_GRP,DIP LABY,121,0,2024,0,,0,0,Disease_all
MIR_GRP,EUS FAST,121,0,2024,0,,0,0,Disease_all
MIR_GRP,MEA MEAN,121,0,2024,0,,0,0,Disease_all
MIR_GRP,MON CAVE,121,0.016191764,2024,0.0151893759,0.9380927217,-0.013898273,0.0462818007,Disease_all
MIR_GRP,ORB ANNU,121,0,2024,0,,0,0,Disease_all
MIR_GRP,ORB FAVE,121,0,2024,0,,0,0,Disease_all
MIR_GRP,POR ASTR,121,0.0041975282,2024,0.0020868386,0.4971589216,0.000063517,0.0083315394,Disease_all
MIR_GRP,POR PORI,121,0,2024,0,,0,0,Disease_all
MIR_GRP,PSE CLIV,121,0,2024,0,,0,0,Disease_all
MIR_GRP,PSE STRI,121,0,2024,0,,0,0,Disease_all
MIR_GRP,SID RADI,121,0.0227128006,2024,0.0258084552,1.1362955887,-0.02841355,0.0738391515,Disease_all
MIR_GRP,SID SIDE,121,0.0125127515,2024,0.0050592357,0.4043263971,0.0024904445,0.0225350585,Disease_all
MIR_GRP,STE INTE,121,0.0263116457,2024,0.0363927056,1.3831406041,-0.045782024,0.0984053152,Disease_all
NCRMP_GRP,ACR CERV,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,ACR PALM,346,,2024,0,,,,Disease_all
NCRMP_GRP,AGA AGAR,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,COL NATA,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,DIC STOK,346,0.0188158686,2024,0.0103607566,0.5506392937,-0.001563599,0.0391953366,Disease_all
NCRMP_GRP,DIP LABY,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,EUS FAST,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,MEA MEAN,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,MON CAVE,346,0.0032983882,2024,0.0011248194,0.3410209223,0.0010858837,0.0055108927,Disease_all
NCRMP_GRP,ORB ANNU,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,ORB FAVE,346,0.0059788441,2024,0.0030405455,0.5085507235,-1.867718E-6,0.011959556,Disease_all
NCRMP_GRP,POR ASTR,346,0.0036600489,2024,0.0035246687,0.9630113762,-0.003272927,0.0105930245,Disease_all
NCRMP_GRP,POR PORI,346,0.0070006241,2024,0.0030480488,0.4353967212,0.0010051534,0.0129960947,Disease_all
NCRMP_GRP,PSE CLIV,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,PSE STRI,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,SID RADI,346,0.003161549,2024,0.002221597,0.7026925586,-0.001208302,0.0075314001,Disease_all
NCRMP_GRP,SID SIDE,346,0.0311666741,2024,0.0068239963,0.2189517003,0.0177439658,0.0445893825,Disease_all
NCRMP_GRP,STE INTE,346,0.0445187397,2024,0.0137180481,0.3081409795,0.0175355249,0.0715019545,Disease_all
