analysis_group,SPECIES_CD,YEAR,tl_abd,se_tl_abd,Ball_abd,se_Ball_abd,Dall_abd,se_Dall_abd,Ball_prev,percent_Bprev,Dall_prev,percent_Dprev
MIR_GRP,ACR CERV,2022,138642.94118,262.79522164,2020,7.5634912573,4985.2941176,13.170548707,0.0145698005,1.4569800545,0.0359577926,3.5957792551
MIR_GRP,ACR PALM,2022,28280,98.301141397,0,0,0,0,0,0,0,0
MIR_GRP,AGA AGAR,2022,731070.70378,441.87604829,448253.23529,321.46446928,0,0,0.6131462155,61.314621551,0,0
MIR_GRP,COL NATA,2022,76697.083333,54.546996276,44687.5,42.411427312,0,0,0.582649275,58.264927502,0,0
MIR_GRP,DIC STOK,2022,30397.013305,37.995984611,0,0,0,0,0,0,0,0
MIR_GRP,DIP LABY,2022,29169.905462,30.724853702,2492.6470588,9.4573802674,0,0,0.0854526958,8.5452695829,0,0
MIR_GRP,EUS FAST,2022,26753.676471,38.254061365,0,0,0,0,0,0,0,0
MIR_GRP,MEA MEAN,2022,6812.5,26.745326695,0,0,0,0,0,0,0,0
MIR_GRP,MON CAVE,2022,70361.862745,55.974186566,18735.294118,26.276669371,2020,7.5634912573,0.2662705816,26.627058163,0.028708734,2.8708733982
MIR_GRP,ORB ANNU,2022,236889.87745,225.31979401,66685.833333,153.61169305,2104.1666667,7.9008614158,0.2815056264,28.150562637,0.0088824676,0.8882467623
MIR_GRP,ORB FAVE,2022,232667.71008,150.44119666,23891.544118,31.794585151,18175.857843,23.42548124,0.1026852592,10.26852592,0.0781193825,7.8119382517
MIR_GRP,POR ASTR,2022,1654994.9125,684.6841374,77544.373249,78.134277992,6060,16.628216982,0.0468547502,4.6854750225,0.0036616427,0.3661642676
MIR_GRP,POR PORI,2022,484871.07143,311.36364004,188833.7605,203.20933835,2492.6470588,9.4573802674,0.3894514885,38.94514885,0.0051408451,0.5140845073
MIR_GRP,PSE CLIV,2022,10732.797619,18.003191603,2785.7142857,10.631105689,0,0,0.2595515526,25.95515526,0,0
MIR_GRP,PSE STRI,2022,28922.794118,58.777341325,1718.75,6.3553619094,0,0,0.0594254481,5.9425448074,0,0
MIR_GRP,SID RADI,2022,53238.918067,57.943057416,13317.794118,26.540405549,0,0,0.2501514794,25.015147944,0,0
MIR_GRP,SID SIDE,2022,1042794.2962,470.53387719,115484.19818,80.486697939,25097.426471,42.12600622,0.1107449462,11.074494615,0.0240674758,2.4067475784
MIR_GRP,STE INTE,2022,131420.2486,101.73733494,6997.1113445,15.583743924,7089.4607843,15.358612059,0.0532422623,5.3242262277,0.0539449656,5.3944965558
NCRMP_GRP,ACR CERV,2022,1010465.1899,1830.3052076,0,0,0,0,0,0,0,0
NCRMP_GRP,ACR PALM,2022,0,0,0,0,0,0,,,,
NCRMP_GRP,AGA AGAR,2022,55250851.163,26966.489507,40864981.272,23252.204397,400949.79473,819.95829384,0.7396262756,73.962627565,0.0072568981,0.7256898062
NCRMP_GRP,COL NATA,2022,4780696.5569,3991.6053892,889275.31012,1535.8897543,0,0,0.1860137533,18.601375334,0,0
NCRMP_GRP,DIC STOK,2022,10346231.806,6295.7150582,663947.06551,971.7176937,0,0,0.0641728388,6.4172838765,0,0
NCRMP_GRP,DIP LABY,2022,3833267.7384,3687.444462,483250,1932.4999353,0,0,0.1260673746,12.606737462,0,0
NCRMP_GRP,EUS FAST,2022,3329114.0194,3483.5433772,851220.065,1280.483507,0,0,0.25568967,25.568967,0,0
NCRMP_GRP,MEA MEAN,2022,363642.83271,733.16803456,0,0,0,0,0,0,0,0
NCRMP_GRP,MON CAVE,2022,39209676.852,15626.695282,5761085.9368,4599.5325121,95693.037975,382.27182491,0.146930207,14.693020701,0.0024405465,0.2440546458
NCRMP_GRP,ORB ANNU,2022,5531582.8059,5914.3730071,1614280.0047,2945.1123496,357804.14909,738.56419366,0.2918296736,29.182967359,0.0646838638,6.468386385
NCRMP_GRP,ORB FAVE,2022,12732301.087,6814.053504,2069256.5753,2175.4870993,314118.9639,725.80592872,0.1625202358,16.252023583,0.0246710286,2.4671028572
NCRMP_GRP,POR ASTR,2022,166209898.67,51936.170335,16254606.705,11307.509705,328047.59461,694.40868139,0.0977956598,9.7795659796,0.0019736947,0.1973694691
NCRMP_GRP,POR PORI,2022,72871046.924,54974.328057,20491317.998,18300.488355,95693.037975,382.27182491,0.2811997201,28.119972009,0.0013131832,0.1313183246
NCRMP_GRP,PSE CLIV,2022,1430496.3499,1910.8867037,126597.79988,401.60901136,0,0,0.0884992121,8.8499212101,0,0
NCRMP_GRP,PSE STRI,2022,3858848.1764,3887.3479638,1207723.1151,2135.1811927,95693.037975,382.27182491,0.3129750278,31.297502775,0.0247983423,2.4798342303
NCRMP_GRP,SID RADI,2022,16735761.426,14383.772029,3376422.5618,4403.6942528,222290.83785,551.06676385,0.2017489659,20.174896593,0.0132823857,1.3282385676
NCRMP_GRP,SID SIDE,2022,331658613.53,79323.377226,76637879.164,35696.052321,18860141.469,15411.196349,0.2310745931,23.107459308,0.0568661289,5.6866128904
NCRMP_GRP,STE INTE,2022,123951434.39,45779.344364,18969449.29,14381.098112,7493514.0131,8664.9136091,0.1530393689,15.303936887,0.0604552424,6.045524241
